Gateway 0 Arrival Rate	Analytical Avg Gateway App Processing Efficiency of 0	Simulation Avg Gateway App Processing Efficiency of 0	Analytical Avg Gateway App Processing Efficiency of 1	Simulation Avg Gateway App Processing Efficiency of 1	Analytical Avg Gateway App Processing Efficiency of 2	Simulation Avg Gateway App Processing Efficiency of 2	Analytical Avg Gateway App Processing Efficiency of Cloud	Simulation Avg Gateway App Processing Efficiency of Cloud
0.0	0.0	5.780000000000001E-4	0.0	0.5051145	0.0	0.24617125	0.0	1.5050000000000008E-5
50.0	0.125	0.1147665	0.4999996821083591	0.47840800000000006	0.25	0.24167674999999997	3.8256412029973866E-22	1.9000000000000008E-5
100.0	0.24999999999972716	0.2554615	0.4999996821084782	0.49456049999999996	0.2500000000000307	0.24812099999999998	6.189133705830998E-16	1.4700000000000005E-5
150.0	0.3749999989689875	0.37976199999999993	0.49999968255863675	0.49024150000000005	0.2500000001159487	0.239783	2.3386884707522486E-12	2.320000000000001E-5
200.0	0.4999996821083591	0.496209	0.4999998209422584	0.5130195	0.2500000357504164	0.24539750000000002	7.210867989794272E-10	1.800000000000001E-5
250.0	0.6249761375024383	0.6467895	0.5000101036581919	0.49872500000000003	0.25000268360068195	0.25547149999999996	5.412829331744303E-8	1.860000000000001E-5
300.0	0.7493186024221135	0.7554580000000001	0.5002972711734056	0.49707349999999995	0.25007663066282043	0.24653	1.5456423983364374E-6	3.170000000000001E-5
350.0	0.8663680664286344	0.852478	0.5037695324194287	0.5262494999999999	0.2509707560056895	0.24621450000000006	1.95801730744447E-5	5.314999999999998E-5
400.0	0.9512195121951219	0.9407635000000001	0.5213036142522753	0.5208835	0.25548590314157815	0.24669600000000003	1.106508044783589E-4	1.343499999999999E-4
450.0	0.9877033781089756	0.9890909999999999	0.5599598688441428	0.5527045	0.2654405173718808	0.26586325	3.114356241202597E-4	2.944999999999999E-4
500.0	0.9973787275219502	0.9936619999999999	0.610314334189376	0.5898700000000001	0.2784100445624945	0.2764067499999999	5.730313140748798E-4	4.773499999999998E-4
550.0	0.9994441578468733	0.9944495	0.6639453457821584	0.6543245	0.2922353909732703	0.2844135	8.518888992462159E-4	7.989000000000005E-4
600.0	0.9998746649818808	0.9945945	0.7181079578384892	0.718971	0.3062446025044539	0.30714074999999996	0.0011344550485251545	0.0012008000000000014
650.0	0.9999693747291771	0.9955589999999999	0.7718215060226623	0.762926	0.32029157815049325	0.314656	0.0014177829009514784	0.0014505500000000008
700.0	0.999991879745493	0.995482	0.823938712943586	0.8069659999999999	0.3343466740138233	0.33028675	0.0017012745383649906	0.0018751999999999992
