Gateway 0 Arrival Rate	Pure Cloud App Processing Efficiency of 0	Next Hop App Processing Efficiency of 0	Probabilistic DF App Processing Efficiency of 0	Pure Cloud App Processing Efficiency of 1	Next Hop App Processing Efficiency of 1	Probabilistic DF App Processing Efficiency of 1	Pure Cloud App Processing Efficiency of 2	Next Hop App Processing Efficiency of 2	Probabilistic DF App Processing Efficiency of 2	Pure Cloud App Processing Efficiency of Cloud	Next Hop App Processing Efficiency of Cloud	Probabilistic DF App Processing Efficiency of Cloud
0.0	5.0E-6	3.5800000000000003E-4	5.780000000000001E-4	5.0E-6	0.500626	0.5051145	5.0E-6	0.25249375	0.24617125	0.029326950000000025	1.0600000000000009E-5	1.5050000000000008E-5
50.0	5.0E-6	0.130389	0.1147665	5.0E-6	0.49051100000000003	0.47840800000000006	5.0E-6	0.245971	0.24167674999999997	0.031600250000000024	1.2200000000000007E-5	1.9000000000000008E-5
100.0	5.0E-6	0.2521325	0.2554615	5.0E-6	0.500815	0.49456049999999996	5.0E-6	0.24451375	0.24812099999999998	0.03484180000000002	1.415000000000001E-5	1.4700000000000005E-5
150.0	5.0E-6	0.387061	0.37976199999999993	5.0E-6	0.4840435	0.49024150000000005	5.0E-6	0.24407525	0.239783	0.037220250000000024	1.695000000000001E-5	2.320000000000001E-5
200.0	5.0E-6	0.47989699999999996	0.496209	5.0E-6	0.503768	0.5130195	5.0E-6	0.2522995	0.24539750000000002	0.03998840000000002	1.8850000000000008E-5	1.800000000000001E-5
250.0	5.0E-6	0.6147875	0.6467895	5.0E-6	0.482976	0.49872500000000003	5.0E-6	0.24784124999999996	0.25547149999999996	0.043133500000000026	1.585000000000001E-5	1.860000000000001E-5
300.0	5.0E-6	0.7644924999999999	0.7554580000000001	5.0E-6	0.4890454999999999	0.49707349999999995	5.0E-6	0.24792825000000002	0.24653	0.04497785000000002	1.245000000000001E-5	3.170000000000001E-5
350.0	5.0E-6	0.8382055000000002	0.852478	5.0E-6	0.505918	0.5262494999999999	5.0E-6	0.24276074999999997	0.24621450000000006	0.04844055000000002	7.754999999999993E-5	5.314999999999998E-5
400.0	5.0E-6	0.9432145000000001	0.9407635000000001	5.0E-6	0.503522	0.5208835	5.0E-6	0.2519785	0.24669600000000003	0.04989980000000003	6.874000000000004E-4	1.343499999999999E-4
450.0	5.0E-6	0.9661445000000001	0.9890909999999999	5.0E-6	0.5118269999999999	0.5527045	5.0E-6	0.24491199999999996	0.26586325	0.05186225000000002	0.002060949999999999	2.944999999999999E-4
500.0	5.0E-6	0.9923285	0.9936619999999999	5.0E-6	0.501706	0.5898700000000001	5.0E-6	0.24728275000000002	0.2764067499999999	0.053940850000000026	0.005456850000000004	4.773499999999998E-4
550.0	5.0E-6	0.9944409999999999	0.9944495	5.0E-6	0.5229375	0.6543245	5.0E-6	0.24819325	0.2844135	0.05729230000000002	0.006977900000000004	7.989000000000005E-4
600.0	5.0E-6	0.9945689999999999	0.9945945	5.0E-6	0.4949739999999999	0.718971	5.0E-6	0.2503745	0.30714074999999996	0.06005610000000002	0.010040700000000005	0.0012008000000000014
650.0	5.0E-6	0.994991	0.9955589999999999	5.0E-6	0.5128895	0.762926	5.0E-6	0.2558415	0.314656	0.062429150000000024	0.012854749999999988	0.0014505500000000008
700.0	5.0E-6	0.9954564999999999	0.995482	5.0E-6	0.4948615	0.8069659999999999	5.0E-6	0.24204550000000005	0.33028675	0.06328550000000001	0.014313499999999984	0.0018751999999999992
750.0	5.0E-6	0.9956284999999999	0.9954695000000001	5.0E-6	0.5070135	0.8266120000000001	5.0E-6	0.248365	0.34126025000000004	0.06602960000000004	0.016575049999999984	0.0018514499999999988
800.0	5.0E-6	0.9956215	0.9950734999999999	5.0E-6	0.5201905000000001	0.8861710000000003	5.0E-6	0.2486215	0.3489845	0.06941460000000002	0.018750899999999984	0.002028299999999998
850.0	5.0E-6	0.9957995000000001	0.9952655	5.0E-6	0.495951	0.9175185000000001	5.0E-6	0.250699	0.36557375	0.07215285000000002	0.022182849999999983	0.0022992499999999983
900.0	5.0E-6	0.9955675000000002	0.9957804999999998	5.0E-6	0.5035715	0.9523955000000001	5.0E-6	0.25040025	0.38287775	0.07362455000000001	0.024317399999999996	0.0026964000000000007
950.0	5.0E-6	0.9957860000000001	0.995654	5.0E-6	0.4959144999999999	0.9711225000000001	5.0E-6	0.24266875	0.39896000000000004	0.07631995	0.02693750000000002	0.0031770500000000007
1000.0	5.0E-6	0.995974	0.9957744999999999	5.0E-6	0.510679	0.9721869999999999	5.0E-6	0.25060925	0.40807525	0.07887905000000002	0.02913685000000002	0.003310850000000003
1050.0	5.0E-6	0.995781	0.9950065	5.0E-6	0.5035185000000001	0.9851380000000001	5.0E-6	0.24741549999999995	0.42338675000000003	0.08137150000000001	0.031246650000000025	0.0035763500000000046
1100.0	5.0E-6	0.995758	0.995861	5.0E-6	0.4951345	0.9895465	5.0E-6	0.24652149999999998	0.43990975	0.08461990000000001	0.033860300000000024	0.003981550000000004
1150.0	5.0E-6	0.9954350000000002	0.995956	5.0E-6	0.4987665	0.9892059999999999	5.0E-6	0.24306725	0.4579025	0.08551710000000001	0.03611600000000002	0.004008400000000004
1200.0	5.0E-6	0.9958535	0.995796	5.0E-6	0.507048	0.991058	5.0E-6	0.2447445	0.46278975000000006	0.08757310000000001	0.038964450000000025	0.004607050000000004
1250.0	5.0E-6	0.9957474999999999	0.995681	5.0E-6	0.4815155	0.9905395	5.0E-6	0.24588575000000001	0.47045049999999994	0.08973715000000002	0.04058420000000003	0.004587250000000004
1300.0	5.0E-6	0.995889	0.995922	5.0E-6	0.48624899999999993	0.9911305	5.0E-6	0.247955	0.49622475	0.09184890000000004	0.04329060000000001	0.004904750000000005
1350.0	5.0E-6	0.9960094999999999	0.9958929999999999	5.0E-6	0.486509	0.992975	5.0E-6	0.25171050000000006	0.5026619999999999	0.09533995000000002	0.04585395000000002	0.0052846500000000044
1400.0	5.0E-6	0.995891	0.9959769999999999	5.0E-6	0.5030715	0.9936630000000001	5.0E-6	0.24959824999999997	0.5367	0.09910949999999998	0.04871315000000002	0.005855500000000004
1450.0	5.0E-6	0.9958425	0.995557	5.0E-6	0.5063415	0.9926389999999999	5.0E-6	0.24615125	0.5360989999999999	0.10098599999999994	0.0507422	0.005794150000000005
1500.0	5.0E-6	0.9958819999999999	0.995904	5.0E-6	0.49264450000000004	0.9925885000000001	5.0E-6	0.23874575	0.5505162499999999	0.10330834999999991	0.05330865000000003	0.005802650000000005
1550.0	5.0E-6	0.995899	0.9959484999999999	5.0E-6	0.4869665	0.9935095	5.0E-6	0.250506	0.5578595	0.10567269999999991	0.05520755000000003	0.006439150000000005
1600.0	5.0E-6	0.9956855000000001	0.995853	5.0E-6	0.5087794999999999	0.993975	5.0E-6	0.24622550000000004	0.58387775	0.1077675499999999	0.05901225000000002	0.006545900000000005
1650.0	5.0E-6	0.9959430000000001	0.995759	5.0E-6	0.5098805000000001	0.99246	5.0E-6	0.24973499999999998	0.5907905	0.11019639999999993	0.06014200000000003	0.007038500000000003
1700.0	5.0E-6	0.9958575	0.9959719999999999	5.0E-6	0.503741	0.993913	5.0E-6	0.248081	0.60939125	0.11191179999999992	0.06343245000000002	0.007127600000000003
